Date detected,Infected Premises (IP) location Question,Province,Premises type Question,WOAH premises classification Question,Primary control zone (PCZ) Question - Map,Status of order declaring PCZ
"November 8, 2024",BC-IP178Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 8, 2024",BC-IP177Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 8, 2024",BC-IP176Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 7, 2024",BC-IP175Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 7, 2024",BC-IP174Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 3, 2024",BC-IP173Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 1, 2024",BC-IP172Footnote *  Regional District of Strathcona,British Columbia,non-commercial,non-poultry,,
"November 1, 2024",BC-IP171Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 1, 2024",BC-IP170Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"November 1, 2024",BC-IP169Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"October 31, 2024",BC-IP168Footnote *  Regional District of Qathet,British Columbia,non-commercial,poultry,PCZ-241,Revoked
"October 31, 2024",BC-IP167Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"October 30, 2024",BC-IP166Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"October 30, 2024",BC-IP165Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"October 28, 2024",BC-IP164Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"October 27, 2024",BC-IP163Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"October 25, 2024",BC-IP162Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"October 29, 2024",SK-IP45Footnote *  Rural Municipality of Willner no. 253,Saskatchewan,commercial,poultry,PCZ-238,Revoked
"October 21, 2024",BC-IP161Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-237 Revoked
"October 21, 2024",BC-IP160Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"October 21, 2024",BC-IP159Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"February 19, 2024",AB-IP82Footnote *  Mountain View County,Alberta,commercial,poultry,PCZ-235,Revoked
"February 9, 2024",AB-IP81Footnote *  Vermilion River County,Alberta,non-commercial,poultry,PCZ-234,Revoked
"December 20, 2023",AB-IP80Footnote *  Cypress County,Alberta,non-commercial,non-poultry,,
"December 8, 2023",AB-IP79Footnote *  Municipal District of Taber,Alberta,commercial,poultry,PCZ-227,Revoked
"December 5, 2023",AB-IP78Footnote *  Municipal District of Taber,Alberta,commercial,poultry,PCZ-226,Revoked
"November 27, 2023",AB-IP77Footnote *  Lethbridge County,Alberta,commercial,poultry,PCZ-224,Revoked
"November 26, 2023",AB-IP76Footnote *  Lac Ste. Anne County,Alberta,commercial,poultry,PCZ-223,Revoked
"November 24, 2023",AB-IP75Footnote *  Municipal District of Taber,Alberta,non-commercial,poultry,PCZ-222,Revoked
